code_station;y;ECO_2016;ECO_2017;ECO_2018;BIO_2016;BIO_2017;BIO_2018;PC_2016;PC_2017;PC_2018;CHI_2016;CHI_2017;CHI_2018
05021000;6511030;3;3;U;3;3;U;2;2;2;2;5;2
05021045;6511600;2;2;U;2;2;U;2;2;2;U;U;U
05021050;6511850;2;2;U;U;U;U;2;2;2;2;2;U
05021100;6511030;2;2;U;2;2;U;2;2;2;U;U;U
05021105;6514830;3;3;U;U;U;U;3;3;3;5;5;U
05021110;6509570;2;2;U;U;U;U;2;2;2;2;2;U
05021120;6509780;3;3;U;3;3;U;2;2;2;U;U;U
05021250;6515580;2;2;U;U;U;U;2;2;2;U;U;U
05021260;6518640;U;3;U;U;U;U;U;4;2;U;U;U
05021480;6517040;2;3;U;1;1;U;2;4;4;U;U;U
05021500;6515470;2;3;U;2;3;U;2;2;2;2;2;U
05021645;6514460;U;2;U;U;U;U;U;2;2;U;U;U
05021650;6514280;3;3;U;3;3;U;2;2;2;2;2;2
05021700;6510080;3;3;U;3;3;U;2;2;2;2;2;U
05021750;6513160;2;3;U;2;1;U;2;4;4;2;2;U
05021800;6510370;3;3;U;3;3;U;2;3;3;U;U;U
05021810;6507390;3;2;U;1;1;U;4;2;4;U;U;U
05021900;6516100;3;3;U;3;3;U;2;2;2;U;U;U
05022000;6504000;2;2;U;2;2;U;2;2;2;2;2;U
05022020;6503120;2;2;U;1;2;U;2;2;2;U;U;U
05022040;6501300;2;2;U;2;2;U;2;2;2;U;U;U
05022065;6498740;2;2;U;U;U;U;2;2;2;U;U;U
05022070;6499800;2;2;U;1;1;U;2;2;2;U;U;U
05022071;6501160;2;2;U;U;U;U;1;2;2;U;U;U
05022072;6504730;2;2;U;U;U;U;2;2;2;U;U;U
05022073;6500720;2;2;U;U;U;U;2;2;2;U;U;U
05022074;6499870;2;2;U;U;U;U;2;2;2;U;U;U
05022075;6501130;3;3;U;U;U;U;3;3;3;U;U;U
05022076;6501790;3;3;U;U;U;U;3;3;3;U;U;U
05022077;6502200;3;3;U;U;U;U;3;3;2;U;U;U
05022078;6502830;2;2;U;U;U;U;2;2;2;U;U;U
05022080;6497960;3;3;U;3;3;U;2;2;2;U;U;U
05022100;6495530;4;3;U;4;3;U;2;2;3;2;2;2
05022120;6502810;2;2;U;1;1;U;2;2;2;U;U;U
05022245;6536510;4;4;U;4;4;U;2;2;2;U;U;U
05022248;6541140;3;3;U;3;3;U;U;U;U;U;U;U
05022250;6536190;2;2;U;2;2;U;2;2;2;U;U;U
05022260;6536050;2;2;U;U;U;U;2;2;2;2;2;2
05022285;6537100;3;2;U;3;2;U;2;2;2;U;U;U
05022300;6538580;4;4;U;4;4;U;2;2;2;2;2;2
05022400;6543780;3;2;U;3;2;U;2;2;2;5;5;2
05022440;6547550;3;2;U;2;2;U;4;2;2;U;U;U
05022450;6543270;5;5;U;5;5;U;3;3;4;2;2;2
05022705;6493690;2;2;U;2;2;U;2;2;2;U;U;U
05023000;6548440;2;3;U;2;3;U;2;2;2;2;2;2
05023050;6550890;3;3;U;2;3;U;3;3;3;2;2;2
05023100;6553060;2;3;U;2;3;U;2;2;2;2;2;2
05023200;6557440;2;2;U;2;2;U;2;2;2;U;U;U
05023250;6556540;2;2;U;2;2;U;2;2;2;U;U;U
05023955;6564120;U;U;U;U;U;U;2;2;2;2;2;2
05023960;6563540;4;4;U;4;4;U;3;2;3;5;5;U
05023961;6563350;5;5;U;5;5;U;4;4;4;U;U;U
05024000;6563300;3;3;U;3;3;U;2;2;2;2;2;2
05024100;6565420;3;3;U;U;U;U;3;3;2;2;2;2
05024180;6557130;3;3;U;3;3;U;4;4;5;2;2;U
05024200;6550330;2;2;U;2;2;U;2;2;2;2;2;2
05024245;6545770;3;3;U;2;2;U;4;4;4;U;U;U
05024250;6540990;2;2;U;2;2;U;2;2;2;U;U;U
05024275;6537370;3;3;U;3;3;U;3;2;2;U;U;U
05024300;6530260;3;3;U;3;3;U;2;2;2;2;2;2
05024305;6522400;2;3;U;2;2;U;2;3;3;2;2;U
05024309;6524350;2;2;U;2;2;U;2;2;3;U;U;U
05024950;6529340;3;3;U;U;U;U;3;3;3;U;U;U
05024985;6521470;3;2;U;U;U;U;3;2;2;U;U;U
05024990;6519420;3;3;U;U;U;U;3;3;3;U;U;U
05024994;6514930;5;5;U;5;5;U;2;3;3;2;2;U
05025000;6514870;5;5;U;5;5;U;2;2;2;2;2;2
05025010;6513130;5;5;U;5;5;U;3;4;4;U;U;U
05025030;6510510;2;2;U;U;U;U;2;2;2;U;U;U
05025050;6507470;2;2;U;2;2;U;2;2;3;2;2;2
05025055;6504790;5;5;U;5;5;U;3;2;2;U;U;U
05025060;6504150;3;3;U;U;U;U;3;3;4;2;2;2
05025595;6458630;4;5;U;4;5;U;5;5;5;2;2;2
05025598;6463700;U;3;U;U;3;U;U;5;5;U;U;2
05025600;6466700;3;3;U;3;3;U;3;2;4;2;2;2
05025630;6474430;3;3;U;3;3;U;3;3;4;2;2;2
05025650;6466680;2;2;U;2;2;U;2;2;2;2;2;2
05025680;6471290;3;3;U;3;3;U;2;2;2;2;2;2
