eu_cd;2010;2013;2016
FRFR580;3;3;2
FRFR581;2;2;2
FRFR582;2;2;3
FRFR583;2;2;3
FRFR584;3;2;2
FRFR585;2;2;2
FRFR586;2;2;3
FRFR587;2;2;3
FRFR588;3;2;2
FRFR589;3;3;3
FRFR59;2;2;3
FRFR591;2;2;2
FRFR593;3;3;3
FRFR594;3;3;3
FRFR595;3;3;3
FRFR596;3;3;3
FRFR597;4;3;3
FRFR598;4;3;3
FRFR599;5;3;3
FRFR6;3;2;2
FRFR60;4;3;4
FRFR600;3;3;3
FRFR601;3;4;3
FRFR602;3;3;3
FRFR603;3;3;3
FRFR604;4;3;3
FRFR606;3;3;3
FRFR608A;3;3;3
FRFR608B;3;3;2
FRFR609;3;3;3
FRFR610;5;3;2
FRFR611;4;4;4
FRFR612;3;3;3
FRFR613;3;3;3
FRFR614;3;3;3
FRFR616;3;3;3
FRFR617;3;3;3
FRFR618;3;3;3
FRFR619;3;3;3
FRFR61A;4;3;3
FRFR61B;3;4;3
FRFR61C;4;3;2
FRFR62;2;2;2
FRFR620;2;2;2
FRFR621;3;2;2
FRFR623;3;5;3
FRFR624;3;2;2
FRFR625;3;3;3
FRFR626;4;2;3
FRFR627A;3;3;3
FRFR627B;3;3;2
FRFR628;3;3;3
FRFR629B;2;3;3
FRFR63;1;2;3
FRFR630;3;3;3
FRFR631;3;3;3
FRFR632;5;3;3
FRFR633;2;3;3
FRFR634;4;3;3
FRFR635;3;3;3
FRFR636;3;4;4
FRFR637;3;2;3
FRFR638;2;3;3
FRFR639;2;5;4
FRFR64;2;2;3
FRFR640;3;4;3
FRFR643;2;3;3
FRFR644;2;3;4
FRFR645;4;3;3
FRFR646;2;2;2
FRFR647;5;3;5
FRFR648;4;3;5
FRFR649;4;3;3
FRFR65;2;2;2
FRFR650;3;3;3
FRFR651;3;2;2
FRFR655;5;3;3
FRFR656;3;2;2
FRFR657;2;2;2
FRFR658A;2;3;2
FRFR659;2;3;2
FRFR66;2;2;2
FRFR660;4;3;3
FRFR661;3;2;3
FRFR662;2;2;2
FRFR663;3;3;3
FRFR664;2;2;2
FRFR665;2;2;2
FRFR666;2;2;2
FRFR667;3;2;2
FRFR668;4;3;2
FRFR67;2;2;2
FRFR670;3;3;3
FRFR671;3;3;3
FRFR672;2;2;3
FRFR673;2;2;2
FRFR674;2;3;3
FRFR675;3;3;3
FRFR676;3;3;3
FRFR677;3;3;4
FRFR678;3;3;3
FRFR68;3;3;3
FRFR680;2;3;3
FRFR681;4;3;3
FRFR682;2;3;3
FRFR683;3;3;3
FRFR684;4;3;5
FRFR685;2;2;2
FRFR686;2;3;3
FRFR687;5;4;3
FRFR7;3;4;4
FRFR70;3;4;4
FRFR71A;3;3;3
FRFR71B;2;2;2
FRFR72;3;2;2
FRFR73;3;2;2
FRFR74;2;3;3
FRFR75;5;3;3
FRFR76;3;3;2
FRFR77;3;3;3
FRFR777;3;2;2
FRFR78;2;2;2
FRFR79;2;3;2
FRFR80;4;3;3
FRFR81;3;2;2
FRFR82;2;2;3
FRFR829;2;1;3
FRFR830;3;3;3
FRFR83A;3;2;3
FRFR83B;3;2;2
FRFR84;3;3;3
FRFR85;2;2;3
FRFR86;3;3;3
FRFR87;2;2;2
FRFR88;2;2;2
FRFR89;3;2;2
FRFR8A;2;3;3
FRFR8B;2;4;4
FRFR9;3;3;2
FRFR90;2;2;2
FRFR903A;2;2;2
FRFR903B;3;3;2
FRFR904;2;2;3
FRFR905A;3;3;3
FRFR905B;3;2;2
FRFR905C;2;3;1
FRFR907;3;2;2
FRFR91;2;2;2
FRFR910;U;2;2
FRFR911;U;U;2
FRFR912;U;2;2
FRFR913;U;U;3
FRFR914;U;2;2
FRFR915;U;U;2
FRFR916;U;U;2
FRFR917;U;U;2
FRFR918;U;U;2
FRFR919;U;2;2
FRFR920;U;U;3
FRFR921;U;U;2
FRFR922;U;2;2
FRFR923;U;U;3
FRFR924;U;U;5
FRFR925;U;3;3
FRFR926;U;2;3
FRFR927;U;U;3
FRFR928;U;U;2
FRFR929;U;U;2
FRFR92A;3;2;2
FRFR92B;3;2;2
FRFR93;3;2;2
FRFR930;U;3;3
FRFR931;U;3;3
FRFR94;2;3;2
FRFR95;2;2;2
FRFR96;2;2;2
FRFR97A;2;2;3
FRFR97B;2;2;2
FRFR98A;1;2;2
FRFR98B;2;2;2
FRFR99;2;2;2
FRFRC11_1;4;3;3
FRFRC2_1;5;3;3
FRFRC6_2;2;2;2
FRFRC6_3;2;3;3
FRFRC6_4;3;2;2
FRFRC6_5;3;3;3
FRFRC7_1;2;3;3
FRFRL10_1;3;3;3
FRFRL101_1;3;2;2
FRFRL103_1;3;3;2
FRFRL104_1;1;1;2
FRFRL105_2;3;2;3
FRFRL105_3;2;2;2
FRFRL11_1;4;3;3
FRFRL1_2;2;2;2
FRFRL12_1;2;3;3
FRFRL18_1;2;2;2
FRFRL18_2;1;1;3
FRFRL18_3;2;3;3
FRFRL18_4;1;1;2
FRFRL18_5;2;2;2
FRFRL25_1;3;3;3
FRFRL26_1;1;1;2
FRFRL26_2;1;1;2
FRFRL28_1;3;3;4
FRFRL30_1;2;3;3
FRFRL30_3;2;3;3
FRFRL30_4;2;2;2
FRFRL30_5;2;2;2
FRFRL30_6;2;2;2
FRFRL30_7;2;2;2
FRFRL31_1;2;3;3
FRFRL34_1;2;2;2
FRFRL34_2;3;3;3
FRFRL34_3;3;3;3
FRFRL34_4;1;1;3
FRFRL37_1;3;3;3
FRFRL38_1;2;2;2
FRFRL40_0;2;2;2
FRFRL41_1;3;3;3
FRFRL42_1;5;3;4
FRFRL44_1;2;2;2
FRFRL45_1;3;3;3
FRFRL46_1;1;1;2
FRFRL46_2;1;1;2
FRFRL46_3;4;3;3
FRFRL46_4;2;3;3
FRFRL46_5;2;2;2
FRFRL46_6;1;1;2
FRFRL50_2;1;1;2
FRFRL56_1;2;3;3
FRFRL56_2;2;3;3
FRFRL56_3;2;3;3
FRFRL56_4;2;3;3
FRFRL60_2;2;3;3
FRFRL60_3;2;2;2
FRFRL61_1;3;3;3
FRFRL62_1;2;2;2
FRFRL65_1;3;3;3
FRFRL7_1;1;1;3
FRFRL73_1;1;1;2
FRFRL74_1;3;3;3
FRFRL74_2;4;3;3
FRFRL75_1;2;2;2
FRFRL75_2;1;1;2
FRFRL77_2;1;1;2
FRFRL77_4;1;1;2
FRFRL79_1;2;3;3
FRFRL82_1;2;3;3
FRFRL84_1;2;2;2
FRFRL87_1;2;2;3
FRFRL87_2;1;1;3
FRFRL87_3;1;1;2
FRFRL87_4;1;1;2
FRFRL87_5;1;1;2
FRFRL87_6;1;1;2
FRFRL88_1;1;1;2
FRFRL89_1;2;2;2
FRFRL89_2;2;3;3
FRFRL89_3;2;3;3
FRFRL90_1;5;3;3
FRFRL90_2;2;3;3
FRFRL90_3;2;2;2
FRFRL9_1;1;1;3
FRFRL9_2;1;1;2
FRFRL92_1;3;3;3
FRFRL92_2;3;4;5
FRFRL93_2;1;1;2
FRFRL94_1;3;3;4
FRFRL98_2;3;3;3
FRFRL99_1;3;2;3
FRFRR100_1;2;2;2
FRFRR100_2;2;2;2
FRFRR10_1;3;3;2
FRFRR101A_1;2;2;2
FRFRR101C_2;2;2;2
FRFRR101C_3;2;2;2
FRFRR101C_4;2;3;3
FRFRR101C_5;4;3;3
FRFRR10_2;4;3;3
FRFRR103_1;1;1;2
FRFRR103_2;3;2;2
FRFRR104_1;1;1;2
FRFRR104_2;1;1;2
FRFRR10_5;3;3;3
FRFRR105_1;2;2;2
FRFRR10_6;3;3;3
FRFRR106A_1;2;2;2
FRFRR106A_2;2;3;3
FRFRR106A_3;1;1;2
FRFRR106A_4;1;1;2
FRFRR106A_5;1;1;3
FRFRR106A_6;4;3;3
FRFRR106A_7;1;1;2
FRFRR107A_2;1;1;2
FRFRR107B_1;1;1;2
FRFRR107B_2;2;2;2
FRFRR108_1;2;2;2
FRFRR108_2;3;3;3
FRFRR108_3;3;3;3
FRFRR108_4;3;3;3
FRFRR108_5;2;2;2
FRFRR108_6;3;3;3
FRFRR108_7;3;3;3
FRFRR108_8;3;3;3
FRFRR108_9;4;3;3
FRFRR109_1;1;1;2
FRFRR109_3;2;2;2
FRFRR110A_1;1;1;2
FRFRR110C_1;1;1;2
FRFRR110C_3;1;1;2
FRFRR111_1;1;1;2
FRFRR111_2;1;1;2
FRFRR111_3;1;1;2
FRFRR112A_2;2;2;2
FRFRR112A_3;2;2;3
FRFRR112A_4;2;2;2
FRFRR112A_5;2;2;2
FRFRR112B_1;1;1;2
FRFRR112B_2;1;1;2
FRFRR113_2;1;1;3
FRFRR113_3;1;1;2
FRFRR113_4;1;1;2
FRFRR113_5;1;1;3
FRFRR114_2;1;1;2
FRFRR115_1;1;1;2
FRFRR116_1;1;1;2
FRFRR117_1;1;1;2
FRFRR117_2;2;2;2
FRFRR118_1;2;2;2
FRFRR120A_2;2;2;2
FRFRR120A_3;1;1;2
FRFRR120A_4;2;2;2
FRFRR120B_1;1;1;2
FRFRR120B_2;2;2;2
FRFRR120B_3;1;1;2
FRFRR120B_4;1;1;2
FRFRR12_1;3;3;4
FRFRR121_2;1;1;2
FRFRR121_3;1;1;2
FRFRR12_2;4;3;3
FRFRR122_1;1;1;2
FRFRR122_2;2;2;2
FRFRR12_3;4;3;3
FRFRR123_2;1;1;2
FRFRR123_3;1;1;2
FRFRR123_4;1;1;2
FRFRR123_5;1;1;2
FRFRR123_6;1;1;2
FRFRR123_7;1;1;2
FRFRR123_8;1;1;2
FRFRR12_4;3;3;3
FRFRR124A_1;2;2;2
FRFRR124A_2;2;2;2
FRFRR124A_3;1;1;2
FRFRR124A_4;2;2;2
FRFRR124B_1;1;1;2
FRFRR12_5;3;3;3
FRFRR125_1;1;1;2
FRFRR12_6;3;3;2
FRFRR126A_1;2;2;2
FRFRR126A_2;2;2;2
FRFRR126A_4;2;3;3
FRFRR126A_5;2;2;2
FRFRR126A_6;2;3;3
FRFRR126B_1;1;1;2
FRFRR126B_10;1;1;3
FRFRR126B_2;1;1;2
FRFRR126B_3;1;1;2
FRFRR126B_4;1;1;2
FRFRR126B_6;1;1;2
FRFRR126B_7;1;1;2
FRFRR126B_8;2;2;2
FRFRR126B_9;1;1;2
FRFRR127_1;1;1;2
FRFRR127_2;2;2;2
FRFRR128A_2;2;2;2
FRFRR128A_3;1;1;2
FRFRR128A_4;4;2;2
FRFRR128B_1;4;3;3
FRFRR128B_2;4;2;2
FRFRR129_1;1;1;2
FRFRR129_2;1;1;2
FRFRR129_3;1;1;2
FRFRR129_4;1;1;3
FRFRR129_5;1;1;2
FRFRR130_1;2;2;2
FRFRR13_1;4;3;3
FRFRR131_1;2;3;2
FRFRR132_2;3;3;3
FRFRR132_3;3;3;2
FRFRR133_1;1;1;2
FRFRR133_2;1;1;2
FRFRR133_3;1;1;2
FRFRR133_4;1;1;2
FRFRR134_2;1;1;2
FRFRR134_3;1;1;2
FRFRR134_4;1;1;2
FRFRR134_5;1;1;2
FRFRR134_6;1;1;2
